Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
22-2340028,08/22/2022 12:35:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Monday,100 Block BERKSHIRE AV,Buffalo,NY,POINT (-78.819 42.941),42.941,-78.819,,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.01,2,2006,47,3,3006,District E,004701,36029004701,360290047012,360290047012006
22-2390217,08/27/2022 05:49:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Saturday,300 Block ELMWOOD AV,Buffalo,NY,POINT (-78.877 42.905),42.905,-78.877,,,14222,Elmwood Bryant,ELLICOTT,NIAGARA,67.01,2,2004,67.01,3,3004,District B,006701,36029006701,360290067012,360290067012004
21-1160434,04/26/2021 02:29:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,14,Monday,400 Block DARTMOUTH AV,Buffalo,NY,POINT (-78.808 42.944),42.944,-78.808,,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,43,2,2000,43,2,2000,District E,004300,36029004300,360290043002,360290043002000
22-1141068,04/24/2022 09:08:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Sunday,0 Block MARINE DR,Buffalo,NY,,UNKNOWN,UNKNOWN,,,14202,,UNIVERSITY,MASTEN,,,,,,,,,,,
23-1471023,05/27/2023 08:04:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Saturday,2400 Block DELAWARE AV,Buffalo,NY,POINT (-78.869 42.951),42.951,-78.869,,,14216,North Park,NORTH,NORTH,50,1,1000,UNKNOWN,UNKNOWN,UNKNOWN,District D,005000,36029005000,360290050001,360290050001000
23-2320573,08/20/2023 01:39:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Sunday,1500 Block BROADWAY,Buffalo,NY,POINT (-78.819 42.896),42.896,-78.819,,,14212,Lovejoy,FILLMORE,FILLMORE,24,5,5004,UNKNOWN,UNKNOWN,UNKNOWN,District C,002400,36029002400,360290024005,360290024005004
20-3330140,11/28/2020 05:00:00 AM,,CRIM NEGLIGENT HOMICIDE,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Saturday,TONAWANDA ST & ONTARIO ST,Buffalo,NY,POINT (-78.904 42.95),42.95,-78.904,11/28/2020 05:05:00 AM,,14207,Riverside,NORTH,NORTH,58.02,2,2011,58.02,2,2010,District D,005802,36029005802,360290001102,360290170002011
22-0720102,03/13/2022 03:42:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,300 Block BIRD AV,Buffalo,NY,POINT (-78.887 42.926),42.926,-78.887,,,14213,Elmwood Bidwell,NIAGARA,NIAGARA,63.01,5,5005,63.01,5,5004,District D,006301,36029006301,360290063015,360290063015005
22-2610832,09/18/2022 06:54:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Sunday,0 Block ELSIE PL,Buffalo,NY,POINT (-78.856 42.917),42.917,-78.856,,,14208,Masten Park,MASTEN,MASTEN,168.02,1,1012,UNKNOWN,UNKNOWN,UNKNOWN,District E,016802,36029016802,360290168021,360290168021012
23-0960772,04/06/2023 05:52:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Thursday,0 Block W UTICA ST,Buffalo,NY,POINT (-78.867 42.912),42.912,-78.867,,,14209,Elmwood Bryant,ELLICOTT,ELLICOTT,66.02,3,3000,UNKNOWN,UNKNOWN,UNKNOWN,District B,006602,36029006602,360290066023,360290066023000
